Date,Time,Station,MC_Score
1/14/2020,9:00,C3A,1
1/14/2020,10:55,C9,1
1/14/2020,12:45,C10A,1
1/15/2020,8:45,D12,1
1/15/2020,10:00,D19,1
1/15/2020,10:35,D28A,1
1/16/2020,8:15,D16,1
1/16/2020,9:05,D26,1
1/16/2020,10:20,MD10A,1
1/16/2020,11:50,P8,1
1/17/2020,10:10,D4,1
1/17/2020,11:10,D22,1
1/17/2020,11:50,NZ068,1
1/21/2020,10:50,D8,1
1/21/2020,11:30,D10,1
1/21/2020,12:25,EZ6,1
1/21/2020,13:10,EZ2,1
1/22/2020,11:30,D6,1
1/22/2020,12:25,D7,1
1/22/2020,13:20,NZS42,1
1/22/2020,14:15,NZ032,1
1/23/2020,10:05,D41A,1
1/23/2020,10:50,D41,1
1/23/2020,11:30,NZ325,1
1/23/2020,11:50,NZ002,1
1/23/2020,12:05,NZ004,1
2/12/2020,8:15,C3A,1
2/12/2020,10:10,C9,1
2/12/2020,11:30,C10A,1
2/13/2020,7:50,D12,1
2/13/2020,7:50,EZ2-SJR,1
2/13/2020,8:50,D19,1
2/13/2020,9:30,D28A,1
2/14/2020,7:25,D16,1
2/14/2020,8:20,D26,1
2/14/2020,9:30,MD10A,1
2/14/2020,10:40,P8,1
2/18/2020,11:50,EZ6,1
2/18/2020,12:30,D4,1
2/18/2020,13:30,EZ2,1
2/18/2020,14:10,D22,1
2/18/2020,14:55,NZ068,1
2/19/2020,10:20,D6,1
2/19/2020,11:20,D8,1
2/19/2020,12:00,D10,1
2/20/2020,11:20,D7,1
2/20/2020,12:15,NZS42,1
2/20/2020,13:10,NZ032,1
2/21/2020,9:20,D41A,1
2/21/2020,10:30,D41,1
2/21/2020,11:15,NZ325,1
2/21/2020,11:30,NZ002,1
2/21/2020,11:55,NZ004,1
3/2/2020,9:15,D12,1
3/2/2020,10:20,D19,1
3/2/2020,10:45,C3A,1
3/2/2020,11:00,D28A,1
3/2/2020,12:20,C9,1
3/2/2020,14:30,C10A,1
3/3/2020,8:35,D16,1
3/3/2020,9:25,D26,1
3/3/2020,10:30,MD10A,1
3/3/2020,11:35,P8,1
3/4/2020,10:25,D4,1
3/4/2020,11:05,EZ6,1
3/4/2020,11:50,EZ2,1
3/4/2020,12:25,D22,1
3/4/2020,13:10,NZ068,1
3/5/2020,10:05,D6,1
3/5/2020,11:10,D8,1
3/5/2020,11:50,D10,1
3/6/2020,10:15,D7,1
3/6/2020,11:15,NZS42,1
3/6/2020,12:15,NZ032,1
3/9/2020,11:20,D41A,1
3/9/2020,12:00,D41,1
3/9/2020,12:40,NZ325,1
3/9/2020,12:55,NZ002,1
3/9/2020,13:10,NZ004,1
6/10/2020,6:40,D12,2
6/10/2020,7:05,EZ2-SJR,2
6/10/2020,7:40,D16,3
6/10/2020,8:55,D19,3
6/10/2020,9:35,D28A,3
6/11/2020,6:40,D26,3
6/11/2020,8:00,MD10A,3
6/11/2020,9:00,C3A,1
6/11/2020,9:25,C9,2
6/11/2020,9:30,P8,3
6/11/2020,11:00,C10A,1
6/15/2020,12:10,D4,2
6/15/2020,13:45,D22,1
6/15/2020,14:35,NZ068,1
6/16/2020,11:30,D6,1
6/16/2020,11:45,D7,2
6/16/2020,12:50,NZS42,1
6/16/2020,12:55,D8,1
6/16/2020,13:45,D10,2
6/16/2020,13:55,NZ032,1
6/16/2020,14:10,EZ6,2
6/16/2020,14:45,EZ2,2
6/18/2020,10:55,D41A,1
6/18/2020,12:05,D41,2
6/18/2020,12:55,NZ325,1
6/18/2020,13:15,NZ002,1
6/18/2020,13:35,NZ004,1
7/8/2020,6:45,C3A,1
7/8/2020,8:30,C9,3
7/8/2020,10:00,C10A,1
7/9/2020,6:25,D12,2
7/9/2020,7:05,EZ2-SJR,3
7/9/2020,7:50,D16,3
7/9/2020,8:55,D19,3
7/9/2020,9:35,D28A,3
7/13/2020,9:25,D26,3
7/13/2020,10:40,MD10A,2
7/13/2020,12:10,P8,3
7/14/2020,11:15,D4,2
7/14/2020,11:15,EZ6,2
7/14/2020,12:25,EZ2,2
7/14/2020,13:05,D22,2
7/14/2020,13:45,NZ068,2
7/15/2020,10:55,D8,2
7/15/2020,11:40,D10,2
7/16/2020,11:20,D6,1
7/16/2020,12:25,D7,2
7/16/2020,13:30,NZS42,2
7/16/2020,14:20,NZ032,2
7/20/2020,12:15,D41A,2
7/20/2020,13:25,D41,1
7/20/2020,14:10,NZ325,1
7/20/2020,14:25,NZ002,1
7/20/2020,14:45,NZ004,1
8/6/2020,6:30,C3A,1
8/6/2020,8:15,C9,3
8/6/2020,9:30,C10A,1
8/10/2020,8:25,D12,2
8/10/2020,9:15,EZ2-SJR,2
8/10/2020,10:15,D16,3
8/10/2020,11:20,D19,3
8/10/2020,12:00,D28A,3
8/11/2020,8:35,D26,3
8/11/2020,10:00,MD10A,3
8/11/2020,11:50,P8,4
8/12/2020,10:55,D4,2
8/12/2020,10:55,EZ6,2
8/12/2020,12:00,EZ2,2
8/12/2020,12:35,D22,2
8/12/2020,13:25,NZ068,2
8/13/2020,11:20,D6,1
8/13/2020,13:00,D8,2
8/13/2020,13:50,D10,2
8/17/2020,14:00,D7,2
8/17/2020,14:55,NZS42,2
8/17/2020,15:45,NZ032,2
8/18/2020,12:10,D41A,1
8/18/2020,13:40,D41,1
8/18/2020,14:30,NZ325,1
8/18/2020,14:50,NZ002,NA
8/18/2020,15:10,NZ004,1
9/8/2020,7:40,D12,3
9/8/2020,8:30,EZ2-SJR,3
9/8/2020,9:15,D16,3
9/8/2020,10:05,D19,3
9/8/2020,10:40,D28A,3
9/9/2020,7:45,D26,3
9/9/2020,9:00,MD10A,2
9/9/2020,10:15,P8,3
9/10/2020,9:30,D4,2
9/10/2020,9:30,EZ6,2
9/10/2020,10:15,EZ2,2
9/10/2020,10:45,D22,2
9/10/2020,11:30,NZ068,2
9/15/2020,10:40,D41A,1
9/15/2020,11:20,D41,1
9/15/2020,11:55,NZ325,1
9/15/2020,12:15,NZ002,1
9/15/2020,12:25,NZ004,1
9/15/2020,12:40,D6,1
9/15/2020,13:35,D8,2
9/15/2020,14:10,D10,2
9/23/2020,10:30,C3A,1
9/23/2020,12:10,C9,3
9/23/2020,13:30,C10A,1
9/24/2020,8:50,D7,2
9/24/2020,9:55,NZS42,2
9/24/2020,10:45,NZ032,2
10/6/2020,8:45,C3A,1
10/6/2020,10:45,C9,2
10/6/2020,12:30,C10A,1
10/7/2020,9:10,D12,3
10/7/2020,9:35,EZ6-SJR,3
10/7/2020,10:15,EZ2-SJR,3
10/7/2020,10:55,D16,3
10/7/2020,11:50,D19,3
10/7/2020,12:30,D28A,3
10/8/2020,9:15,D26,2
10/8/2020,10:30,MD10A,2
10/8/2020,11:50,P8,2
10/9/2020,10:25,D4,2
10/9/2020,11:20,EZ6,2
10/9/2020,11:55,D22,2
10/9/2020,13:05,EZ2,2
10/9/2020,13:45,NZ068,2
10/12/2020,12:20,D6,1
10/12/2020,13:25,D8,3
10/12/2020,14:05,D10,3
10/13/2020,12:15,D7,1
10/13/2020,13:10,NZS42,1
10/13/2020,14:05,NZ032,1
10/14/2020,9:50,D41A,1
10/14/2020,10:35,D41,1
10/14/2020,11:10,NZ325,1
10/14/2020,11:30,NZ002,1
10/14/2020,11:45,NZ004,1
