Date,Tracy,CCF,Total
2020-06-01,899,584,1483
2020-06-02,918,582,1500
2020-06-03,1827,574,2401
2020-06-04,2620,592,3212
2020-06-05,2360,595,2956
2020-06-06,3427,592,4019
2020-06-07,2671,597,3267
2020-06-08,2670,595,3265
2020-06-09,2672,489,3161
2020-06-10,2677,395,3072
2020-06-11,2659,390,3050
2020-06-12,2693,290,2984
2020-06-13,2703,290,2993
2020-06-14,2701,299,3000
2020-06-15,2709,495,3204
2020-06-16,2705,492,3197
2020-06-17,2800,1263,4063
2020-06-18,2797,1786,4583
2020-06-19,3499,567,4066
2020-06-20,3504,373,3877
2020-06-21,3504,397,3901
2020-06-22,2746,694,3439
2020-06-23,2747,493,3239
2020-06-24,2744,445,3188
2020-06-25,2738,591,3329
2020-06-26,1840,1399,3238
2020-06-27,1838,998,2835
2020-06-28,2738,0,2738
2020-06-29,2550,0,2550
2020-06-30,2573,759,3332
2020-07-01,3505,1489,4994
2020-07-02,3525,793,4317
2020-07-03,3526,784,4310
2020-07-04,3519,1789,5308
2020-07-05,3507,1795,5302
2020-07-06,2691,1491,4181
2020-07-07,2859,1482,4341
2020-07-08,3531,2091,5622
2020-07-09,4312,1394,5706
2020-07-10,4299,1493,5792
2020-07-11,4298,1488,5787
2020-07-12,4297,1485,5782
2020-07-13,4287,1591,5877
2020-07-14,4296,1893,6189
2020-07-15,4305,2193,6498
2020-07-16,4301,2190,6491
2020-07-17,4302,2585,6887
2020-07-18,4296,3290,7587
2020-07-19,4300,3597,7898
2020-07-20,4312,3598,7910
2020-07-21,4306,3796,8102
2020-07-22,4308,4086,8394
2020-07-23,3989,3487,7477
2020-07-24,4305,3484,7789
2020-07-25,4307,2293,6600
2020-07-26,4302,2298,6601
2020-07-27,4295,466,4761
2020-07-28,4297,0,4297
2020-07-29,4297,0,4297
2020-07-30,3504,1694,5199
2020-07-31,3500,2193,5693
2020-08-01,4284,1590,5874
2020-08-02,4284,1589,5873
2020-08-03,3752,1389,5141
2020-08-04,3284,1393,4677
2020-08-05,4309,1458,5766
2020-08-06,4310,1593,5903
2020-08-07,4312,1465,5777
2020-08-08,4318,1593,5911
2020-08-09,4309,1395,5704
2020-08-10,4326,1390,5716
2020-08-11,4316,1392,5708
2020-08-12,4318,1488,5806
2020-08-13,4308,1186,5494
2020-08-14,4307,1286,5592
2020-08-15,4307,1588,5894
2020-08-16,4294,1599,5893
2020-08-17,3183,2897,6081
2020-08-18,3154,3197,6351
2020-08-19,3189,3785,6975
2020-08-20,4322,2989,7310
2020-08-21,4316,3787,8103
2020-08-22,4303,5390,9693
2020-08-23,4289,5382,9671
2020-08-24,4295,5392,9687
2020-08-25,4302,5391,9693
2020-08-26,4311,5390,9701
2020-08-27,4317,4796,9112
2020-08-28,4316,3999,8315
2020-08-29,4316,3793,8109
2020-08-30,4315,3480,7794
2020-08-31,4305,3486,7791
2020-09-01,4311,2180,6491
2020-09-02,3047,1900,4946
2020-09-03,4318,1499,5817
2020-09-04,4311,1295,5605
2020-09-05,3413,546,3958
2020-09-06,3405,548,3953
2020-09-07,2602,539,3141
2020-09-08,2650,542,3192
2020-09-09,4316,535,4851
2020-09-10,4312,542,4854
2020-09-11,4304,789,5093
2020-09-12,4283,891,5174
2020-09-13,4324,890,5214
2020-09-14,4298,889,5187
2020-09-15,4303,1496,5799
2020-09-16,4293,1989,6283
2020-09-17,4169,2091,6261
2020-09-18,4302,1795,6098
2020-09-19,4300,1796,6097
2020-09-20,4283,1785,6068
2020-09-21,3168,1783,4951
2020-09-22,2296,1795,4092
2020-09-23,4318,1492,5809
2020-09-24,4323,1489,5812
2020-09-25,4318,1495,5813
2020-09-26,4277,1497,5775
2020-09-27,4311,1179,5489
2020-09-28,4301,1192,5493
2020-09-29,4295,1982,6277
2020-09-30,4233,2194,6427
2020-10-01,3835,794,4628
2020-10-02,4307,897,5204
2020-10-03,4303,695,4998
2020-10-04,4297,689,4987
2020-10-05,4291,690,4981
2020-10-06,4288,295,4584
2020-10-07,3421,290,3711
2020-10-08,3408,792,4199
2020-10-09,3414,290,3704
2020-10-10,3262,288,3551
2020-10-11,3423,290,3713
2020-10-12,3409,299,3709
2020-10-13,3408,697,4105
2020-10-14,3407,290,3696
2020-10-15,3403,293,3696
2020-10-16,3409,296,3705
2020-10-17,3405,285,3690
2020-10-18,3406,286,3692
2020-10-19,3456,297,3752
2020-10-20,3439,295,3734
2020-10-21,2724,289,3014
2020-10-22,2716,295,3011
2020-10-23,2708,295,3003
2020-10-24,2708,300,3008
2020-10-25,2700,294,2995
2020-10-26,1910,294,2204
2020-10-27,1871,995,2866
2020-10-28,1870,993,2864
2020-10-29,1867,692,2560
2020-10-30,1867,490,2357
2020-10-31,1862,999,2861
